iter	Passed	Remaining
0	58	58271
1	58	29256
2	58	19579
3	59	14803
4	59	11900
5	60	9964
6	61	8733
7	61	7677
8	62	6855
9	62	6199
10	62	5661
11	63	5212
12	63	4831
13	63	4506
14	64	4222
15	64	3971
16	64	3751
17	65	3554
18	65	3375
19	65	3217
20	65	3073
21	66	2942
22	66	2823
23	66	2713
24	66	2611
25	67	2518
26	67	2431
27	67	2351
28	67	2275
29	68	2205
30	68	2141
31	68	2081
32	69	2024
33	69	1970
34	69	1920
35	69	1872
36	70	1839
37	71	1798
38	71	1758
39	71	1721
40	72	1685
41	72	1651
42	72	1618
43	72	1585
44	73	1554
45	73	1530
46	74	1502
47	74	1477
48	74	1453
49	75	1429
50	75	1406
51	75	1382
52	76	1360
53	76	1337
54	76	1316
55	76	1295
56	77	1275
57	77	1256
58	77	1238
59	77	1220
60	78	1203
61	78	1187
62	78	1171
63	79	1156
64	79	1142
65	79	1129
66	80	1116
67	80	1103
68	80	1090
69	81	1078
70	81	1065
71	81	1053
72	81	1040
73	82	1029
74	82	1017
75	82	1006
76	83	995
77	83	984
78	83	974
79	83	963
80	84	953
81	84	943
82	84	931
83	84	922
84	84	912
85	85	903
86	85	895
87	85	886
88	85	878
89	86	870
90	86	862
91	86	855
92	86	848
93	87	841
94	87	834
95	87	828
96	88	821
97	88	815
98	88	809
99	89	803
100	89	797
101	90	795
102	90	789
103	91	784
104	91	780
105	91	775
106	92	770
107	92	766
108	93	760
109	93	755
110	93	750
111	94	746
112	94	741
113	94	737
114	95	732
115	95	727
116	95	722
117	95	717
118	96	711
119	96	706
120	96	702
121	96	697
122	97	692
123	97	687
124	97	682
125	97	678
126	97	673
127	98	668
128	98	664
129	98	660
130	98	656
131	99	652
132	99	648
133	99	644
134	99	640
135	100	636
136	100	632
137	100	628
138	100	624
139	101	620
140	101	617
141	101	612
142	101	609
143	101	605
144	102	602
145	102	598
146	102	595
147	102	592
148	103	588
149	103	585
150	103	582
151	103	579
152	104	575
153	104	572
154	104	569
155	104	566
156	104	563
157	105	560
158	105	557
159	105	554
160	105	550
161	106	548
162	106	545
163	106	542
164	106	539
165	107	540
166	107	537
167	108	535
168	108	532
169	108	529
170	108	527
171	109	524
172	109	522
